Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,MIN,MAX,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51,,
P139,32.00 ,36.00 ,32.00 ,38.00 ,47.00 ,31.00 ,48.00 ,27.00 ,41.00 ,36.00 ,31.00 ,34.00 ,47.00 ,39.00 ,38.00 ,38.00 ,47.00 ,36.00 ,41.00 ,44.00 ,40.00 ,35.00 ,40.00 ,32.00 ,31.00 ,37.00 ,24.00 ,32.00 ,25.00 ,23.00 ,28.00 ,28.00 ,21.00 ,39.00 ,36.00 ,30.00 ,29.00 ,27.00 ,23.00 ,23.00 ,30.00 ,31.00 ,27.00 ,32.00 ,23.00 ,25.00 ,38.00 ,24.00 ,23.00 ,32.00 ,35.00 ,24.00 ,21.00 ,48.00 ,0.41 ,0.56 ,0.41 ,0.63 ,0.96 ,0.37 ,1.00 ,0.22 ,0.74 ,0.56 ,0.37 ,0.48 ,0.96 ,0.67 ,0.63 ,0.63 ,0.96 ,0.56 ,0.74 ,0.85 ,0.70 ,0.52 ,0.70 ,0.41 ,0.37 ,0.59 ,0.11 ,0.41 ,0.15 ,0.07 ,0.26 ,0.26 ,0.00 ,0.67 ,0.56 ,0.33 ,0.30 ,0.22 ,0.07 ,0.07 ,0.33 ,0.37 ,0.22 ,0.41 ,0.07 ,0.15 ,0.63 ,0.11 ,0.07 ,0.41 ,0.52 ,0.11 ,33.04 ,0.44 
P140,28.00 ,36.00 ,41.00 ,46.00 ,34.00 ,38.00 ,38.00 ,28.00 ,34.00 ,27.00 ,28.00 ,39.00 ,45.00 ,19.00 ,32.00 ,44.00 ,33.00 ,24.00 ,38.00 ,39.00 ,38.00 ,31.00 ,41.00 ,37.00 ,34.00 ,26.00 ,27.00 ,26.00 ,36.00 ,34.00 ,39.00 ,37.00 ,30.00 ,39.00 ,33.00 ,38.00 ,31.00 ,34.00 ,27.00 ,33.00 ,28.00 ,39.00 ,28.00 ,34.00 ,29.00 ,27.00 ,35.00 ,34.00 ,35.00 ,32.00 ,23.00 ,29.00 ,19.00 ,46.00 ,0.33 ,0.63 ,0.81 ,1.00 ,0.56 ,0.70 ,0.70 ,0.33 ,0.56 ,0.30 ,0.33 ,0.74 ,0.96 ,0.00 ,0.48 ,0.93 ,0.52 ,0.19 ,0.70 ,0.74 ,0.70 ,0.44 ,0.81 ,0.67 ,0.56 ,0.26 ,0.30 ,0.26 ,0.63 ,0.56 ,0.74 ,0.67 ,0.41 ,0.74 ,0.52 ,0.70 ,0.44 ,0.56 ,0.30 ,0.52 ,0.33 ,0.74 ,0.33 ,0.56 ,0.37 ,0.30 ,0.59 ,0.56 ,0.59 ,0.48 ,0.15 ,0.37 ,33.69 ,0.53 
P141,27.00 ,45.00 ,40.00 ,34.00 ,31.00 ,35.00 ,37.00 ,40.00 ,40.00 ,37.00 ,34.00 ,25.00 ,29.00 ,30.00 ,42.00 ,35.00 ,37.00 ,42.00 ,38.00 ,33.00 ,38.00 ,39.00 ,33.00 ,41.00 ,24.00 ,20.00 ,25.00 ,32.00 ,25.00 ,32.00 ,27.00 ,28.00 ,34.00 ,39.00 ,19.00 ,32.00 ,23.00 ,30.00 ,33.00 ,34.00 ,23.00 ,28.00 ,34.00 ,27.00 ,39.00 ,36.00 ,39.00 ,35.00 ,22.00 ,35.00 ,16.00 ,23.00 ,16.00 ,45.00 ,0.38 ,1.00 ,0.83 ,0.62 ,0.52 ,0.66 ,0.72 ,0.83 ,0.83 ,0.72 ,0.62 ,0.31 ,0.45 ,0.48 ,0.90 ,0.66 ,0.72 ,0.90 ,0.76 ,0.59 ,0.76 ,0.79 ,0.59 ,0.86 ,0.28 ,0.14 ,0.31 ,0.55 ,0.31 ,0.55 ,0.38 ,0.41 ,0.62 ,0.79 ,0.10 ,0.55 ,0.24 ,0.48 ,0.59 ,0.62 ,0.24 ,0.41 ,0.62 ,0.38 ,0.79 ,0.69 ,0.79 ,0.66 ,0.21 ,0.66 ,0.00 ,0.24 ,32.69 ,0.56 
P142,23.00 ,29.00 ,40.00 ,43.00 ,34.00 ,30.00 ,42.00 ,43.00 ,35.00 ,35.00 ,43.00 ,37.00 ,25.00 ,42.00 ,42.00 ,39.00 ,43.00 ,42.00 ,16.00 ,33.00 ,19.00 ,33.00 ,37.00 ,36.00 ,21.00 ,31.00 ,25.00 ,30.00 ,25.00 ,22.00 ,22.00 ,38.00 ,35.00 ,37.00 ,24.00 ,20.00 ,20.00 ,31.00 ,20.00 ,42.00 ,24.00 ,26.00 ,27.00 ,24.00 ,31.00 ,39.00 ,37.00 ,30.00 ,46.00 ,41.00 ,29.00 ,25.00 ,16.00 ,46.00 ,0.23 ,0.43 ,0.80 ,0.90 ,0.60 ,0.47 ,0.87 ,0.90 ,0.63 ,0.63 ,0.90 ,0.70 ,0.30 ,0.87 ,0.87 ,0.77 ,0.90 ,0.87 ,0.00 ,0.57 ,0.10 ,0.57 ,0.70 ,0.67 ,0.17 ,0.50 ,0.30 ,0.47 ,0.30 ,0.20 ,0.20 ,0.73 ,0.63 ,0.70 ,0.27 ,0.13 ,0.13 ,0.50 ,0.13 ,0.87 ,0.27 ,0.33 ,0.37 ,0.27 ,0.50 ,0.77 ,0.70 ,0.47 ,1.00 ,0.83 ,0.43 ,0.30 ,32.00 ,0.53 
P143,31.00 ,35.00 ,29.00 ,42.00 ,31.00 ,35.00 ,28.00 ,41.00 ,49.00 ,41.00 ,36.00 ,27.00 ,39.00 ,43.00 ,33.00 ,47.00 ,43.00 ,34.00 ,43.00 ,40.00 ,36.00 ,35.00 ,36.00 ,41.00 ,35.00 ,30.00 ,27.00 ,30.00 ,28.00 ,25.00 ,47.00 ,21.00 ,32.00 ,41.00 ,22.00 ,27.00 ,27.00 ,17.00 ,29.00 ,22.00 ,27.00 ,32.00 ,34.00 ,40.00 ,23.00 ,36.00 ,30.00 ,30.00 ,26.00 ,21.00 ,16.00 ,24.00 ,16.00 ,49.00 ,0.45 ,0.58 ,0.39 ,0.79 ,0.45 ,0.58 ,0.36 ,0.76 ,1.00 ,0.76 ,0.61 ,0.33 ,0.70 ,0.82 ,0.52 ,0.94 ,0.82 ,0.55 ,0.82 ,0.73 ,0.61 ,0.58 ,0.61 ,0.76 ,0.58 ,0.42 ,0.33 ,0.42 ,0.36 ,0.27 ,0.94 ,0.15 ,0.48 ,0.76 ,0.18 ,0.33 ,0.33 ,0.03 ,0.39 ,0.18 ,0.33 ,0.48 ,0.55 ,0.73 ,0.21 ,0.61 ,0.42 ,0.42 ,0.30 ,0.15 ,0.00 ,0.24 ,33.33 ,0.50 
P144,9.00 ,13.00 ,17.00 ,12.00 ,8.00 ,21.00 ,12.00 ,9.00 ,6.00 ,5.00 ,6.00 ,18.00 ,13.00 ,6.00 ,11.00 ,12.00 ,11.00 ,6.00 ,6.00 ,13.00 ,8.00 ,8.00 ,9.00 ,14.00 ,13.00 ,14.00 ,6.00 ,7.00 ,11.00 ,10.00 ,11.00 ,10.00 ,9.00 ,7.00 ,2.00 ,10.00 ,5.00 ,11.00 ,7.00 ,8.00 ,5.00 ,13.00 ,14.00 ,6.00 ,8.00 ,5.00 ,4.00 ,9.00 ,7.00 ,8.00 ,8.00 ,12.00 ,2.00 ,21.00 ,0.37 ,0.58 ,0.79 ,0.53 ,0.32 ,1.00 ,0.53 ,0.37 ,0.21 ,0.16 ,0.21 ,0.84 ,0.58 ,0.21 ,0.47 ,0.53 ,0.47 ,0.21 ,0.21 ,0.58 ,0.32 ,0.32 ,0.37 ,0.63 ,0.58 ,0.63 ,0.21 ,0.26 ,0.47 ,0.42 ,0.47 ,0.42 ,0.37 ,0.26 ,0.00 ,0.42 ,0.16 ,0.47 ,0.26 ,0.32 ,0.16 ,0.58 ,0.63 ,0.21 ,0.32 ,0.16 ,0.11 ,0.37 ,0.26 ,0.32 ,0.32 ,0.53 ,9.49 ,0.39 
P145,10.00 ,12.00 ,9.00 ,9.00 ,12.00 ,6.00 ,9.00 ,12.00 ,13.00 ,7.00 ,12.00 ,11.00 ,14.00 ,9.00 ,15.00 ,13.00 ,6.00 ,7.00 ,13.00 ,12.00 ,13.00 ,15.00 ,14.00 ,7.00 ,13.00 ,5.00 ,4.00 ,6.00 ,5.00 ,6.00 ,4.00 ,19.00 ,10.00 ,5.00 ,5.00 ,12.00 ,6.00 ,9.00 ,9.00 ,7.00 ,7.00 ,5.00 ,7.00 ,6.00 ,7.00 ,9.00 ,12.00 ,7.00 ,6.00 ,5.00 ,7.00 ,7.00 ,4.00 ,19.00 ,0.40 ,0.53 ,0.33 ,0.33 ,0.53 ,0.13 ,0.33 ,0.53 ,0.60 ,0.20 ,0.53 ,0.47 ,0.67 ,0.33 ,0.73 ,0.60 ,0.13 ,0.20 ,0.60 ,0.53 ,0.60 ,0.73 ,0.67 ,0.20 ,0.60 ,0.07 ,0.00 ,0.13 ,0.07 ,0.13 ,0.00 ,1.00 ,0.40 ,0.07 ,0.07 ,0.53 ,0.13 ,0.33 ,0.33 ,0.20 ,0.20 ,0.07 ,0.20 ,0.13 ,0.20 ,0.33 ,0.53 ,0.20 ,0.13 ,0.07 ,0.20 ,0.20 ,9.20 ,0.34 
P146,7.00 ,13.00 ,9.00 ,13.00 ,10.00 ,12.00 ,11.00 ,6.00 ,11.00 ,11.00 ,10.00 ,15.00 ,7.00 ,5.00 ,9.00 ,8.00 ,9.00 ,4.00 ,6.00 ,5.00 ,12.00 ,6.00 ,8.00 ,7.00 ,7.00 ,8.00 ,7.00 ,9.00 ,7.00 ,8.00 ,10.00 ,7.00 ,8.00 ,8.00 ,5.00 ,4.00 ,5.00 ,8.00 ,9.00 ,14.00 ,10.00 ,14.00 ,3.00 ,8.00 ,9.00 ,3.00 ,16.00 ,7.00 ,3.00 ,5.00 ,10.00 ,13.00 ,3.00 ,16.00 ,0.31 ,0.77 ,0.46 ,0.77 ,0.54 ,0.69 ,0.62 ,0.23 ,0.62 ,0.62 ,0.54 ,0.92 ,0.31 ,0.15 ,0.46 ,0.38 ,0.46 ,0.08 ,0.23 ,0.15 ,0.69 ,0.23 ,0.38 ,0.31 ,0.31 ,0.38 ,0.31 ,0.46 ,0.31 ,0.38 ,0.54 ,0.31 ,0.38 ,0.38 ,0.15 ,0.08 ,0.15 ,0.38 ,0.46 ,0.85 ,0.54 ,0.85 ,0.00 ,0.38 ,0.46 ,0.00 ,1.00 ,0.31 ,0.00 ,0.15 ,0.54 ,0.77 ,8.39 ,0.42 
P147,10.00 ,4.00 ,9.00 ,9.00 ,15.00 ,7.00 ,10.00 ,14.00 ,10.00 ,9.00 ,12.00 ,11.00 ,8.00 ,16.00 ,8.00 ,13.00 ,10.00 ,6.00 ,7.00 ,9.00 ,9.00 ,10.00 ,7.00 ,7.00 ,9.00 ,6.00 ,10.00 ,7.00 ,15.00 ,11.00 ,9.00 ,6.00 ,15.00 ,5.00 ,6.00 ,10.00 ,13.00 ,9.00 ,8.00 ,8.00 ,5.00 ,14.00 ,14.00 ,10.00 ,10.00 ,11.00 ,5.00 ,7.00 ,5.00 ,4.00 ,13.00 ,3.00 ,3.00 ,16.00 ,0.54 ,0.08 ,0.46 ,0.46 ,0.92 ,0.31 ,0.54 ,0.85 ,0.54 ,0.46 ,0.69 ,0.62 ,0.38 ,1.00 ,0.38 ,0.77 ,0.54 ,0.23 ,0.31 ,0.46 ,0.46 ,0.54 ,0.31 ,0.31 ,0.46 ,0.23 ,0.54 ,0.31 ,0.92 ,0.62 ,0.46 ,0.23 ,0.92 ,0.15 ,0.23 ,0.54 ,0.77 ,0.46 ,0.38 ,0.38 ,0.15 ,0.85 ,0.85 ,0.54 ,0.54 ,0.62 ,0.15 ,0.31 ,0.15 ,0.08 ,0.77 ,0.00 ,9.35 ,0.48 
P148,3.00 ,2.00 ,8.00 ,3.00 ,5.00 ,7.00 ,1.00 ,5.00 ,3.00 ,5.00 ,3.00 ,2.00 ,8.00 ,4.00 ,5.00 ,5.00 ,5.00 ,4.00 ,1.00 ,3.00 ,5.00 ,4.00 ,2.00 ,0.00 ,0.00 ,4.00 ,5.00 ,8.00 ,1.00 ,2.00 ,1.00 ,7.00 ,2.00 ,1.00 ,7.00 ,4.00 ,4.00 ,2.00 ,2.00 ,3.00 ,9.00 ,3.00 ,4.00 ,5.00 ,1.00 ,3.00 ,7.00 ,2.00 ,4.00 ,4.00 ,6.00 ,7.00 ,0.00 ,9.00 ,0.33 ,0.22 ,0.89 ,0.33 ,0.56 ,0.78 ,0.11 ,0.56 ,0.33 ,0.56 ,0.33 ,0.22 ,0.89 ,0.44 ,0.56 ,0.56 ,0.56 ,0.44 ,0.11 ,0.33 ,0.56 ,0.44 ,0.22 ,0.00 ,0.00 ,0.44 ,0.56 ,0.89 ,0.11 ,0.22 ,0.11 ,0.78 ,0.22 ,0.11 ,0.78 ,0.44 ,0.44 ,0.22 ,0.22 ,0.33 ,1.00 ,0.33 ,0.44 ,0.56 ,0.11 ,0.33 ,0.78 ,0.22 ,0.44 ,0.44 ,0.67 ,0.78 ,3.76 ,0.43 
P149,11.00 ,9.00 ,9.00 ,6.00 ,13.00 ,8.00 ,11.00 ,14.00 ,14.00 ,11.00 ,9.00 ,10.00 ,13.00 ,4.00 ,10.00 ,13.00 ,10.00 ,11.00 ,11.00 ,13.00 ,7.00 ,10.00 ,9.00 ,7.00 ,14.00 ,5.00 ,13.00 ,5.00 ,12.00 ,8.00 ,13.00 ,8.00 ,10.00 ,7.00 ,8.00 ,9.00 ,14.00 ,7.00 ,8.00 ,8.00 ,7.00 ,8.00 ,6.00 ,9.00 ,7.00 ,11.00 ,8.00 ,12.00 ,7.00 ,7.00 ,7.00 ,5.00 ,4.00 ,14.00 ,0.70 ,0.50 ,0.50 ,0.20 ,0.90 ,0.40 ,0.70 ,1.00 ,1.00 ,0.70 ,0.50 ,0.60 ,0.90 ,0.00 ,0.60 ,0.90 ,0.60 ,0.70 ,0.70 ,0.90 ,0.30 ,0.60 ,0.50 ,0.30 ,1.00 ,0.10 ,0.90 ,0.10 ,0.80 ,0.40 ,0.90 ,0.40 ,0.60 ,0.30 ,0.40 ,0.50 ,1.00 ,0.30 ,0.40 ,0.40 ,0.30 ,0.40 ,0.20 ,0.50 ,0.30 ,0.70 ,0.40 ,0.80 ,0.30 ,0.30 ,0.30 ,0.10 ,9.53 ,0.53 
P150,4.00 ,3.00 ,3.00 ,4.00 ,6.00 ,2.00 ,3.00 ,5.00 ,4.00 ,3.00 ,4.00 ,6.00 ,3.00 ,4.00 ,6.00 ,6.00 ,3.00 ,5.00 ,3.00 ,4.00 ,0.00 ,6.00 ,7.00 ,5.00 ,2.00 ,8.00 ,5.00 ,4.00 ,2.00 ,2.00 ,8.00 ,2.00 ,1.00 ,4.00 ,6.00 ,0.00 ,1.00 ,6.00 ,2.00 ,4.00 ,2.00 ,9.00 ,3.00 ,3.00 ,6.00 ,5.00 ,2.00 ,0.00 ,4.00 ,5.00 ,7.00 ,3.00 ,0.00 ,9.00 ,0.44 ,0.33 ,0.33 ,0.44 ,0.67 ,0.22 ,0.33 ,0.56 ,0.44 ,0.33 ,0.44 ,0.67 ,0.33 ,0.44 ,0.67 ,0.67 ,0.33 ,0.56 ,0.33 ,0.44 ,0.00 ,0.67 ,0.78 ,0.56 ,0.22 ,0.89 ,0.56 ,0.44 ,0.22 ,0.22 ,0.89 ,0.22 ,0.11 ,0.44 ,0.67 ,0.00 ,0.11 ,0.67 ,0.22 ,0.44 ,0.22 ,1.00 ,0.33 ,0.33 ,0.67 ,0.56 ,0.22 ,0.00 ,0.44 ,0.56 ,0.78 ,0.33 ,3.88 ,0.44 
P151,3.00 ,7.00 ,8.00 ,8.00 ,6.00 ,8.00 ,2.00 ,12.00 ,1.00 ,3.00 ,8.00 ,3.00 ,6.00 ,8.00 ,6.00 ,4.00 ,1.00 ,7.00 ,8.00 ,4.00 ,5.00 ,5.00 ,6.00 ,8.00 ,3.00 ,3.00 ,5.00 ,3.00 ,3.00 ,0.00 ,2.00 ,3.00 ,2.00 ,1.00 ,5.00 ,4.00 ,2.00 ,0.00 ,5.00 ,3.00 ,3.00 ,4.00 ,8.00 ,5.00 ,1.00 ,2.00 ,1.00 ,4.00 ,3.00 ,1.00 ,4.00 ,4.00 ,0.00 ,12.00 ,0.25 ,0.58 ,0.67 ,0.67 ,0.50 ,0.67 ,0.17 ,1.00 ,0.08 ,0.25 ,0.67 ,0.25 ,0.50 ,0.67 ,0.50 ,0.33 ,0.08 ,0.58 ,0.67 ,0.33 ,0.42 ,0.42 ,0.50 ,0.67 ,0.25 ,0.25 ,0.42 ,0.25 ,0.25 ,0.00 ,0.17 ,0.25 ,0.17 ,0.08 ,0.42 ,0.33 ,0.17 ,0.00 ,0.42 ,0.25 ,0.25 ,0.33 ,0.67 ,0.42 ,0.08 ,0.17 ,0.08 ,0.33 ,0.25 ,0.08 ,0.33 ,0.33 ,4.33 ,0.35 
P152,11.00 ,10.00 ,8.00 ,8.00 ,13.00 ,4.00 ,10.00 ,10.00 ,6.00 ,12.00 ,16.00 ,7.00 ,13.00 ,8.00 ,10.00 ,5.00 ,12.00 ,8.00 ,9.00 ,15.00 ,7.00 ,6.00 ,9.00 ,9.00 ,8.00 ,11.00 ,6.00 ,3.00 ,14.00 ,6.00 ,7.00 ,13.00 ,9.00 ,6.00 ,6.00 ,3.00 ,10.00 ,9.00 ,12.00 ,14.00 ,5.00 ,6.00 ,11.00 ,7.00 ,7.00 ,15.00 ,8.00 ,12.00 ,3.00 ,11.00 ,15.00 ,11.00 ,3.00 ,16.00 ,0.62 ,0.54 ,0.38 ,0.38 ,0.77 ,0.08 ,0.54 ,0.54 ,0.23 ,0.69 ,1.00 ,0.31 ,0.77 ,0.38 ,0.54 ,0.15 ,0.69 ,0.38 ,0.46 ,0.92 ,0.31 ,0.23 ,0.46 ,0.46 ,0.38 ,0.62 ,0.23 ,0.00 ,0.85 ,0.23 ,0.31 ,0.77 ,0.46 ,0.23 ,0.23 ,0.00 ,0.54 ,0.46 ,0.69 ,0.85 ,0.15 ,0.23 ,0.62 ,0.31 ,0.31 ,0.92 ,0.38 ,0.69 ,0.00 ,0.62 ,0.92 ,0.62 ,8.92 ,0.47 
P153,22.00 ,9.00 ,11.00 ,10.00 ,10.00 ,5.00 ,9.00 ,13.00 ,17.00 ,14.00 ,10.00 ,12.00 ,11.00 ,13.00 ,11.00 ,10.00 ,7.00 ,7.00 ,14.00 ,4.00 ,5.00 ,6.00 ,7.00 ,9.00 ,8.00 ,11.00 ,7.00 ,8.00 ,8.00 ,8.00 ,4.00 ,11.00 ,6.00 ,7.00 ,13.00 ,5.00 ,7.00 ,8.00 ,8.00 ,8.00 ,6.00 ,8.00 ,9.00 ,13.00 ,10.00 ,13.00 ,10.00 ,8.00 ,7.00 ,8.00 ,11.00 ,10.00 ,4.00 ,22.00 ,1.00 ,0.28 ,0.39 ,0.33 ,0.33 ,0.06 ,0.28 ,0.50 ,0.72 ,0.56 ,0.33 ,0.44 ,0.39 ,0.50 ,0.39 ,0.33 ,0.17 ,0.17 ,0.56 ,0.00 ,0.06 ,0.11 ,0.17 ,0.28 ,0.22 ,0.39 ,0.17 ,0.22 ,0.22 ,0.22 ,0.00 ,0.39 ,0.11 ,0.17 ,0.50 ,0.06 ,0.17 ,0.22 ,0.22 ,0.22 ,0.11 ,0.22 ,0.28 ,0.50 ,0.33 ,0.50 ,0.33 ,0.22 ,0.17 ,0.22 ,0.39 ,0.33 ,9.33 ,0.30 
P154,12.00 ,14.00 ,11.00 ,6.00 ,8.00 ,7.00 ,16.00 ,4.00 ,11.00 ,5.00 ,8.00 ,5.00 ,10.00 ,4.00 ,11.00 ,2.00 ,9.00 ,13.00 ,13.00 ,15.00 ,9.00 ,9.00 ,11.00 ,9.00 ,10.00 ,9.00 ,7.00 ,13.00 ,12.00 ,6.00 ,5.00 ,7.00 ,8.00 ,8.00 ,9.00 ,10.00 ,6.00 ,7.00 ,12.00 ,5.00 ,4.00 ,7.00 ,7.00 ,7.00 ,3.00 ,5.00 ,5.00 ,5.00 ,13.00 ,10.00 ,6.00 ,6.00 ,2.00 ,16.00 ,0.71 ,0.86 ,0.64 ,0.29 ,0.43 ,0.36 ,1.00 ,0.14 ,0.64 ,0.21 ,0.43 ,0.21 ,0.57 ,0.14 ,0.64 ,0.00 ,0.50 ,0.79 ,0.79 ,0.93 ,0.50 ,0.50 ,0.64 ,0.50 ,0.57 ,0.50 ,0.36 ,0.79 ,0.71 ,0.29 ,0.21 ,0.36 ,0.43 ,0.43 ,0.50 ,0.57 ,0.29 ,0.36 ,0.71 ,0.21 ,0.14 ,0.36 ,0.36 ,0.36 ,0.07 ,0.21 ,0.21 ,0.21 ,0.79 ,0.57 ,0.29 ,0.29 ,8.41 ,0.45 
P155,5.00 ,7.00 ,4.00 ,3.00 ,4.00 ,3.00 ,2.00 ,4.00 ,3.00 ,5.00 ,2.00 ,3.00 ,3.00 ,4.00 ,4.00 ,5.00 ,10.00 ,5.00 ,5.00 ,4.00 ,2.00 ,1.00 ,4.00 ,5.00 ,6.00 ,3.00 ,3.00 ,4.00 ,4.00 ,5.00 ,8.00 ,4.00 ,3.00 ,1.00 ,3.00 ,4.00 ,7.00 ,5.00 ,2.00 ,5.00 ,3.00 ,2.00 ,2.00 ,5.00 ,5.00 ,5.00 ,1.00 ,2.00 ,6.00 ,2.00 ,2.00 ,5.00 ,1.00 ,10.00 ,0.44 ,0.67 ,0.33 ,0.22 ,0.33 ,0.22 ,0.11 ,0.33 ,0.22 ,0.44 ,0.11 ,0.22 ,0.22 ,0.33 ,0.33 ,0.44 ,1.00 ,0.44 ,0.44 ,0.33 ,0.11 ,0.00 ,0.33 ,0.44 ,0.56 ,0.22 ,0.22 ,0.33 ,0.33 ,0.44 ,0.78 ,0.33 ,0.22 ,0.00 ,0.22 ,0.33 ,0.67 ,0.44 ,0.11 ,0.44 ,0.22 ,0.11 ,0.11 ,0.44 ,0.44 ,0.44 ,0.00 ,0.11 ,0.56 ,0.11 ,0.11 ,0.44 ,3.98 ,0.32 
P156,1.00 ,4.00 ,6.00 ,6.00 ,3.00 ,8.00 ,2.00 ,3.00 ,4.00 ,6.00 ,3.00 ,6.00 ,4.00 ,3.00 ,2.00 ,6.00 ,1.00 ,5.00 ,5.00 ,0.00 ,4.00 ,0.00 ,5.00 ,4.00 ,4.00 ,4.00 ,2.00 ,6.00 ,5.00 ,3.00 ,2.00 ,2.00 ,7.00 ,4.00 ,1.00 ,2.00 ,3.00 ,5.00 ,2.00 ,5.00 ,6.00 ,1.00 ,4.00 ,4.00 ,1.00 ,2.00 ,3.00 ,5.00 ,2.00 ,3.00 ,4.00 ,4.00 ,0.00 ,8.00 ,0.13 ,0.50 ,0.75 ,0.75 ,0.38 ,1.00 ,0.25 ,0.38 ,0.50 ,0.75 ,0.38 ,0.75 ,0.50 ,0.38 ,0.25 ,0.75 ,0.13 ,0.63 ,0.63 ,0.00 ,0.50 ,0.00 ,0.63 ,0.50 ,0.50 ,0.50 ,0.25 ,0.75 ,0.63 ,0.38 ,0.25 ,0.25 ,0.88 ,0.50 ,0.13 ,0.25 ,0.38 ,0.63 ,0.25 ,0.63 ,0.75 ,0.13 ,0.50 ,0.50 ,0.13 ,0.25 ,0.38 ,0.63 ,0.25 ,0.38 ,0.50 ,0.50 ,3.59 ,0.45 
P157,12.00 ,8.00 ,14.00 ,7.00 ,8.00 ,10.00 ,11.00 ,14.00 ,15.00 ,8.00 ,9.00 ,14.00 ,11.00 ,8.00 ,9.00 ,10.00 ,10.00 ,8.00 ,7.00 ,6.00 ,8.00 ,3.00 ,7.00 ,5.00 ,4.00 ,15.00 ,5.00 ,8.00 ,5.00 ,11.00 ,3.00 ,8.00 ,7.00 ,5.00 ,8.00 ,6.00 ,9.00 ,8.00 ,8.00 ,11.00 ,10.00 ,7.00 ,7.00 ,8.00 ,6.00 ,6.00 ,8.00 ,8.00 ,5.00 ,12.00 ,5.00 ,5.00 ,3.00 ,15.00 ,0.75 ,0.42 ,0.92 ,0.33 ,0.42 ,0.58 ,0.67 ,0.92 ,1.00 ,0.42 ,0.50 ,0.92 ,0.67 ,0.42 ,0.50 ,0.58 ,0.58 ,0.42 ,0.33 ,0.25 ,0.42 ,0.00 ,0.33 ,0.17 ,0.08 ,1.00 ,0.17 ,0.42 ,0.17 ,0.67 ,0.00 ,0.42 ,0.33 ,0.17 ,0.42 ,0.25 ,0.50 ,0.42 ,0.42 ,0.67 ,0.58 ,0.33 ,0.33 ,0.42 ,0.25 ,0.25 ,0.42 ,0.42 ,0.17 ,0.75 ,0.17 ,0.17 ,8.33 ,0.44 
P158,8.00 ,3.00 ,3.00 ,2.00 ,3.00 ,3.00 ,4.00 ,5.00 ,2.00 ,7.00 ,7.00 ,3.00 ,9.00 ,3.00 ,4.00 ,6.00 ,3.00 ,2.00 ,4.00 ,2.00 ,6.00 ,2.00 ,5.00 ,2.00 ,2.00 ,3.00 ,5.00 ,1.00 ,3.00 ,1.00 ,0.00 ,6.00 ,1.00 ,3.00 ,1.00 ,3.00 ,4.00 ,1.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,6.00 ,2.00 ,4.00 ,2.00 ,4.00 ,7.00 ,3.00 ,5.00 ,0.00 ,9.00 ,0.89 ,0.33 ,0.33 ,0.22 ,0.33 ,0.33 ,0.44 ,0.56 ,0.22 ,0.78 ,0.78 ,0.33 ,1.00 ,0.33 ,0.44 ,0.67 ,0.33 ,0.22 ,0.44 ,0.22 ,0.67 ,0.22 ,0.56 ,0.22 ,0.22 ,0.33 ,0.56 ,0.11 ,0.33 ,0.11 ,0.00 ,0.67 ,0.11 ,0.33 ,0.11 ,0.33 ,0.44 ,0.11 ,0.33 ,0.22 ,0.22 ,0.44 ,0.22 ,0.22 ,0.67 ,0.22 ,0.44 ,0.22 ,0.44 ,0.78 ,0.33 ,0.56 ,3.37 ,0.38 
